timestamp,auc_score,fit_notes,save,save_name
2021-03-09 17:44:25.802193,1.0,train test split state of 42,True,model_20210309174425.joblib
2021-03-09 17:51:11.588963,0.9129353842551561,train test split state of 42,True,model_20210309175101.joblib
